threshold,precision,recall,f1_score,n_predicted_positive
0.004742108751088381,0.07422369317628735,1.0,0.1381903855738299,41092
0.004760067909955978,0.0742254995011073,1.0,0.1381935162320745,41091
0.004760745447129011,0.07422730591384766,1.0,0.13819664703217036,41090
0.004762585274875164,0.07422911241451484,1.0,0.1381997779741272,41089
0.004772877786308527,0.07423091900311526,1.0,0.1382029090579546,41088
0.004775820765644312,0.07423272567965536,1.0,0.13820604028366223,41087
0.004777475725859404,0.07423453244414156,1.0,0.13820917165125973,41086
0.0047825477086007595,0.07423633929658026,1.0,0.13821230316075678,41085
0.00478806346654892,0.0742381462369779,1.0,0.13821543481216295,41084
0.004790956620126963,0.0742399532653409,1.0,0.13821856660548795,41083
0.004792339634150267,0.07424176038167567,1.0,0.1382216985407414,41082
