number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
32,0.8057048761717698,2025-10-16 17:48:15.764361,2025-10-16 17:48:18.921852,0 days 00:00:03.157491,0.637954503726843,2.7402034537664957,0.06381398256913788,3,7,226,2.7821019338850563,1.0138719190451106,0.8531717775177154,COMPLETE
33,0.808814782139398,2025-10-16 17:48:18.922472,2025-10-16 17:48:23.256070,0 days 00:00:04.333598,0.6669097331393394,4.646786134923531,0.047445677773347565,5,5,282,4.969041389562703,0.5320558801274996,0.7669397911083088,COMPLETE
34,0.8084292957732115,2025-10-16 17:48:23.257058,2025-10-16 17:48:27.814459,0 days 00:00:04.557401,0.7182294988042168,4.691773994066452,0.04446178108186806,5,5,290,3.910719850652206,0.547976393315089,0.7650723155381586,COMPLETE
35,0.8078668235366137,2025-10-16 17:48:27.815082,2025-10-16 17:48:33.497824,0 days 00:00:05.682742,0.67937025477852,4.633119140086889,0.03598909310367909,6,3,325,4.783678115195745,0.04611801574848717,0.8130723214661983,COMPLETE
36,0.8055021882483309,2025-10-16 17:48:33.498449,2025-10-16 17:48:38.787386,0 days 00:00:05.288937,0.6228884214231512,4.205460841616878,0.055087874175926,7,3,274,4.957159731880477,0.9585441424610395,0.6929324302363778,COMPLETE
37,0.8074919212645426,2025-10-16 17:48:38.788041,2025-10-16 17:48:45.352660,0 days 00:00:06.564619,0.7677410569512203,4.975122122673519,0.01534524426173983,5,5,386,4.494128871196098,2.888717419789387,0.7045768582249325,COMPLETE
38,0.8078824022719404,2025-10-16 17:48:45.353613,2025-10-16 17:48:50.689407,0 days 00:00:05.335794,0.6329806477761837,4.598006254246166,0.04972824403853874,5,7,314,1.5143024036412933,0.3431551999145461,0.7406302443673418,COMPLETE
39,0.8070690518457352,2025-10-16 17:48:50.690042,2025-10-16 17:48:54.228276,0 days 00:00:03.538234,0.6653887100150223,3.7901372593460674,0.0767802781344267,3,9,276,3.276855793284422,1.1175598196349064,0.7692043209866886,COMPLETE
40,0.7844284050415072,2025-10-16 17:48:54.228899,2025-10-16 17:48:58.769070,0 days 00:00:04.540171,0.627597738703609,3.654250429589027,0.2974053007288462,8,2,187,1.8973932825490234,3.628722558295463,0.6472458401606359,COMPLETE
41,0.8080755470386847,2025-10-16 17:48:58.769771,2025-10-16 17:49:02.182776,0 days 00:00:03.413005,0.6567377668219764,1.559135493339415,0.10079893979914534,4,6,219,4.2722001025273,0.7224361650188631,0.8907451537704472,COMPLETE
42,0.8073881425967085,2025-10-16 17:49:02.183395,2025-10-16 17:49:05.755539,0 days 00:00:03.572144,0.6956495975315812,2.107638144797614,0.12935257661511512,4,6,252,4.756114374440639,1.6144613042291058,0.8488251750588097,COMPLETE
43,0.8088567284952802,2025-10-16 17:49:05.756197,2025-10-16 17:49:11.084692,0 days 00:00:05.328495,0.6681755289841984,1.2531198082169341,0.03585903287301456,5,8,344,4.563526296234203,1.231275323465956,0.9230452309703083,COMPLETE
44,0.8083726148601068,2025-10-16 17:49:11.085407,2025-10-16 17:49:16.490886,0 days 00:00:05.405479,0.7191546852796504,0.6685435446055972,0.03415306370257719,5,9,368,4.634068223540799,1.1658039544546885,0.9776169035004366,COMPLETE
45,0.8081633328270367,2025-10-16 17:49:16.491502,2025-10-16 17:49:22.855740,0 days 00:00:06.364238,0.8276052953774171,1.0823469733432982,0.024913145338318916,7,8,343,4.939500962082526,0.41356132868906703,0.8306335834451329,COMPLETE
46,0.80578773976156,2025-10-16 17:49:22.856391,2025-10-16 17:49:28.529501,0 days 00:00:05.673110,0.6210867330478488,0.05243099536025708,0.010355805470248376,6,7,320,3.855256333655122,1.9800987443142197,0.9287295966628246,COMPLETE
47,0.8085137640247191,2025-10-16 17:49:28.530129,2025-10-16 17:49:34.045164,0 days 00:00:05.515035,0.6746492552571463,4.727210402679801,0.04186277094771993,5,1,415,4.523080602658124,1.5867320971924577,0.9678381093976047,COMPLETE
48,0.8089424197574404,2025-10-16 17:49:34.045866,2025-10-16 17:49:39.531382,0 days 00:00:05.485516,0.7552204675031334,4.126632401033404,0.02488188155697211,6,10,293,3.7020753993069273,0.7550901398527226,0.8043817998794255,COMPLETE
49,0.8083822080213637,2025-10-16 17:49:39.532004,2025-10-16 17:49:44.952257,0 days 00:00:05.420253,0.7557433336615899,4.14952924448737,0.025739057792110772,6,10,291,4.063610265009834,0.7619771274225104,0.7321679721268696,COMPLETE
50,0.8079384220426659,2025-10-16 17:49:44.952881,2025-10-16 17:49:51.283093,0 days 00:00:06.330212,0.7977349004872155,4.26852027624996,0.016183256050270184,6,4,360,3.6437073716026536,0.06307769742236313,0.7579874996501295,COMPLETE
51,0.8075211599422364,2025-10-16 17:49:51.283720,2025-10-16 17:49:57.374855,0 days 00:00:06.091135,0.6393150215199952,4.759418604327064,0.03193581057744361,7,8,333,2.9319794849465555,0.5192239752986004,0.7870171014041907,COMPLETE
52,0.8082822912390691,2025-10-16 17:49:57.375593,2025-10-16 17:50:02.344306,0 days 00:00:04.968713,0.6134763360798207,4.552483900287826,0.05032942538501291,6,9,274,3.521667161766956,0.8393179684002603,0.823342272700569,COMPLETE
