number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
23,0.9060140269495804,2025-10-16 23:40:56.909595,2025-10-16 23:41:00.737989,0 days 00:00:03.828394,0.845934847987229,0.9388629228758238,0.035977206166701386,7,6,179,9.064175555866928,2.499749317597079,0.9072586192772294,COMPLETE
24,0.9067062173418187,2025-10-16 23:41:00.762601,2025-10-16 23:41:02.781216,0 days 00:00:02.018615,0.78529078612372,3.268377873705758,0.12664560947713602,5,4,99,7.508837336291738,4.405909467004033,0.7595056780015401,COMPLETE
25,0.9072339291748719,2025-10-16 23:41:02.805224,2025-10-16 23:41:07.018038,0 days 00:00:04.212814,0.9557871613408188,1.5985584304870888,0.191643802178055,9,7,246,5.571202041616421,1.643229408498466,0.9462447163083922,COMPLETE
26,0.9076289737309221,2025-10-16 23:41:07.051393,2025-10-16 23:41:10.196941,0 days 00:00:03.145548,0.7338949342326935,3.1290808272390436,0.08098229946043073,6,9,165,6.983204020066885,4.656769887138055,0.8462700979822423,COMPLETE
27,0.907254339602995,2025-10-16 23:41:10.225515,2025-10-16 23:41:13.769081,0 days 00:00:03.543566,0.8542373556621313,4.229747771333091,0.2970544805546824,8,5,288,9.243369795587299,2.973307398957374,0.7753737566231443,COMPLETE
28,0.9072608787121574,2025-10-16 23:41:13.796886,2025-10-16 23:41:18.376709,0 days 00:00:04.579823,0.8104908944730804,2.1838111364143327,0.04036843233880515,7,8,219,8.328901720516559,0.8417812427452405,0.8902092596776598,COMPLETE
29,0.9056439494542886,2025-10-16 23:41:18.400912,2025-10-16 23:41:21.532568,0 days 00:00:03.131656,0.921879312488093,0.6910475398060475,0.196391271357474,8,6,129,4.0773696541334505,2.107056954422682,0.6949787393704295,COMPLETE
30,0.9075398308249423,2025-10-16 23:41:21.556769,2025-10-16 23:41:25.882579,0 days 00:00:04.325810,0.9506958900695357,1.1155054916993494,0.10492374047900785,9,4,253,5.737061116313496,1.6613670528086795,0.9701677643700455,COMPLETE
31,0.9078564527581301,2025-10-16 23:41:25.907006,2025-10-16 23:41:30.691475,0 days 00:00:04.784469,0.8912596476507916,1.7087710691807374,0.058664700839550124,6,9,300,7.810206973578513,2.0249024756126284,0.9767505389676666,COMPLETE
32,0.9080606844155363,2025-10-16 23:41:30.716125,2025-10-16 23:41:35.491551,0 days 00:00:04.775426,0.8843653785826038,1.3527114371911384,0.06149592797234966,6,9,279,7.228842469079875,2.451978659343432,0.9156960854775031,COMPLETE
33,0.8988021699009421,2025-10-16 23:41:35.516170,2025-10-16 23:41:40.255540,0 days 00:00:04.739370,0.9179564769871216,0.9589598651006739,0.013652266896643978,5,7,274,6.910089023547023,3.927569847966726,0.9239343048714159,COMPLETE
34,0.90656456276836,2025-10-16 23:41:40.280130,2025-10-16 23:41:45.342458,0 days 00:00:05.062328,0.859166697484672,1.3256158392206752,0.030446879378547655,6,10,281,8.86848563810442,0.013295628072916621,0.9107954843298559,COMPLETE
35,0.9079851967080284,2025-10-16 23:41:45.366372,2025-10-16 23:41:49.436403,0 days 00:00:04.070031,0.9008600521932236,0.4369885538396321,0.07893552519928318,7,8,199,8.28515443677491,5.266358657545823,0.8477745885075884,COMPLETE
36,0.907205972882368,2025-10-16 23:41:49.460990,2025-10-16 23:41:52.743350,0 days 00:00:03.282360,0.8989877577255356,0.29222279119243044,0.07249544275985706,5,6,195,7.289372670853747,6.364431153043736,0.8323253878487545,COMPLETE
37,0.9058184730851675,2025-10-16 23:41:52.767813,2025-10-16 23:41:54.275397,0 days 00:00:01.507584,0.9501527360273117,0.5282010695591312,0.1395774710609891,6,8,52,4.992164904739336,7.081455589893681,0.8901737426654961,COMPLETE
38,0.9076627851227622,2025-10-16 23:41:54.302836,2025-10-16 23:41:59.325690,0 days 00:00:05.022854,0.9124011645902168,0.02728252066672565,0.09753290926583114,8,9,165,3.36416994617034,5.934100494506004,0.9284466565884674,COMPLETE
39,0.9053348781165116,2025-10-16 23:41:59.350471,2025-10-16 23:42:06.479015,0 days 00:00:07.128544,0.8758436006143329,0.9767598578323072,0.021593626564715362,7,10,259,7.9712728677253715,4.97470894668597,0.783983312951672,COMPLETE
40,0.9026616878110433,2025-10-16 23:42:06.504758,2025-10-16 23:42:11.044446,0 days 00:00:04.539688,0.9742800640861222,1.2404576106975993,0.04736469329415506,3,8,227,5.915687302684182,7.399348093015447,0.9608289071927814,COMPLETE
41,0.9079834496604569,2025-10-16 23:42:11.071105,2025-10-16 23:42:14.565474,0 days 00:00:03.494369,0.8201073174961024,2.8722654104650815,0.09217895074184711,7,7,195,8.5016809532039,3.0024795793888965,0.8579703478298447,COMPLETE
42,0.9079761976608486,2025-10-16 23:42:14.591579,2025-10-16 23:42:18.118194,0 days 00:00:03.526615,0.786875985043751,2.8658681856264754,0.10994939077777316,7,6,205,9.410422739674468,3.0114987121346597,0.8955575895375497,COMPLETE
